comic_no,vw_0,vw_1,vw_2,vw_3,vw_4,vw_5,vw_6,vw_7,vw_8,vw_9,vw_10,vw_11,vw_12,vw_13,vw_14,vw_15,vw_16,vw_17,vw_18,vw_19,vw_20,vw_21,vw_22,vw_23,vw_24,vw_25,vw_26,vw_27,vw_28,vw_29,vw_30,vw_31,vw_32,vw_33,vw_34,vw_35,vw_36,vw_37,vw_38,vw_39,vw_40,vw_41,vw_42,vw_43,vw_44,vw_45,vw_46,vw_47,vw_48,vw_49,vw_50,vw_51,vw_52,vw_53,vw_54,vw_55,vw_56,vw_57,vw_58,vw_59,vw_60,vw_61,vw_62,vw_63
378,0,0,0,0,0,0.2475799083229617,0,0,0,0,0,0,0,0,0,0,0,0,0.2590513646882867,0,0,0,0,0,0,0,0.24167215629769215,0,0,0,0.5089222358102393,0,0,0,0,0,0,0.24983735829824064,0,0,0,0,0,0,0.25053912794911287,0,0,0,0,0,0,0,0.45173428068551436,0,0,0.27711400250454193,0,0,0,0,0,0.25446111790511966,0,0.2887806342628365
379,0,0,0,0,0,0.15736779540236495,0,0,0,0,0,0,0.19323009676712607,0,0.16477799222328335,0,0,0.18111141745402234,0,0,0,0,0,0,0.18384790489673747,0,0,0,0,0,0,0.159921936411876,0.6106857792462036,0,0.3385601146318264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14356663337644404,0.19737106831983134,0,0,0,0,0,0,0,0.4852249774014002,0.18973462737090335,0
380,0,0,0.1643639281705692,0,0,0.4281120054920603,0,0,0.14856674836421135,0,0,0,0,0,0,0,0,0.16423515358930083,0,0,0.16462207737054715,0,0,0.28881936677082914,0,0,0.13929879879325144,0,0.13139357147964667,0,0,0,0.4153357950559508,0,0.15350625931654757,0,0,0.2880103727113261,0,0,0,0,0,0.16941134279329817,0.14440968338541457,0.14211025662350796,0.17806288522759245,0.16859372332672498,0,0,0,0,0.3905665652834655,0.1789797030759861,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0.3513374261927722,0.2243752442775306,0,0,0,0,0,0,0,0,0,0.20013483433055088,0,0.18380821032250688,0.3572913393157304,0.2026498774242437,0,0,0,0.20522829830652436,0,0,0,0.16174556645127033,0,0.18055123058349715,0.17851988517425815,0,0,0,0,0,0,0,0,0,0,0.19587698589530267,0,0,0,0,0,0,0,0,0,0,0,0.1943982655876931,0.19662443746226546,0,0,0.2092220018578191,0.5071255385533555,0.18744624055467118,0,0,0
382,0,0,0,0,0,0.2319327506912799,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47172636302174614,0,0.265470671790818,0,0,0,0,0,0,0,0,0.7151371945262035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21159223906865995,0,0,0,0.2172635452418734,0,0,0.22318339832079478,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604811310663516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5277874971338419,0,0.596358647428437,0
384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3113877058288424,0,0,0,0,0,0,0,0,0,0,0.6294183741888898,0.3111684576273367,0,0,0.32937704184870154,0,0,0,0,0.3445656513946953,0,0,0,0,0.3098585982068031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2946477951201268,0,0,0,0
385,0,0.33389723997313137,0.1691744001199831,0,0,0.1468805483851305,0,0,0,0,0,0,0,0,0,0.15661339249438247,0,0,0,0.1493696484904455,0.1694401046242123,0,0,0.14863615046296202,0,0,0.2867513691790946,0.1710518969999201,0.1352390934075494,0,0.1509629306908139,0.14926447726442071,0,0,0.31599791540136163,0,0,0,0,0,0,0,0,0,0.29727230092592405,0,0,0,0.15870024672217553,0.16192918772082773,0,0,0.535996473388282,0,0,0,0.13759069632947613,0,0,0.14133967642823222,0,0,0,0
386,0,0,0.1909803576029285,0,0,0,0,0,0,0,0,0,0.2035997558920032,0,0,0,0,0,0,0.16862284638513345,0,0,0,0,0,0,0.1618562825998284,0,0.305341829526828,0,0,0.3370082379503709,0.3217290620391538,0,0,0,0,0.16732480351978712,0,0,0,0,0,0,0.16779480316174686,0,0,0,0,0,0.5614903283877134,0,0.30254222296341154,0,0,0,0,0,0,0.15955784048060315,0.17692966578509786,0,0,0.19340647538654707
387,0,0,0.15383144241024763,0,0,0.2671189802247611,0,0,0.13904655023424528,0,0,0,0,0.1443072228825402,0.1398485920630289,0,0,0.3074218394791874,0.1397478834815251,0,0.30814609867686465,0,0,0.13515587112357202,0,0,0,0,0,0,0.27454325668867,0.2714544259877674,0,0,0,0,0,0,0,0,0,0,0,0,0.13515587112357202,0,0,0,0,0,0,0,0.4873852696959312,0.1675106344365573,0,0.29898391293713056,0,0,0,0,0.14251384820146182,0.27454325668867,0,0
388,0,0,0,0.23294712888606994,0,0.19876087691030717,0,0,0.2069266229801951,0,0,0,0,0,0,0,0,0.22874987896722612,0,0,0,0,0.23276144052058276,0.6034097489027653,0,0.3704024419447164,0,0,0,0,0.20428521553704734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181329539960841,0,0,0,0.18618971509718982,0,0,0.3825257780959986,0,0,0,0
389,0,0,0,0,0,0,0,0,0,0,0,0.20562571974725447,0.22368335247664387,0.1968285391287184,0,0,0,0,0.19060980595813926,0,0,0,0,0,0,0,0.711288788195619,0,0,0,0.37446461141904314,0,0.17673261657606598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16619287779030728,0,0,0.20390028174231967,0,0,0,0,0.19438245700243142,0,0.2196369936220556,0
390,0,0,0,0,0,0,0,0,0.15839994247627595,0,0,0,0.1868221923178504,0,0,0,0,0.17510539314862184,0,0.15472754227297222,0,0,0,0.4619032009475653,0,0.2835387957920266,0.1485185747067252,0,0.14009012375438193,0.18604271758413127,0.46913392666132164,0,0.14760854805347343,0,0,0,0,0,0,0,0,0,0,0,0.30793546729837684,0,0,0,0,0,0,0,0.27761134150240135,0,0.1683710885022731,0,0.142526078743825,0,0,0.14640953487144603,0,0,0,0.17746888537208844
391,0,0,0.38951593928044714,0,0,0.22545694354734813,0,0,0,0,0,0,0,0,0,0,0,0,0.11795167325977599,0.45855526518182377,0,0.1290292252496218,0,0,0.13169717034422868,0,0,0,0.20758768252847243,0,0.34758490470695985,0,0,0,0.12126167310275525,0,0,0.11375633743346239,0,0,0,0,0,0,0.228151736580905,0.11225944505424386,0,0,0,0,0,0,0,0,0.12474742376651635,0.12617598181138792,0.10559865889680806,0.1464281401676202,0,0.43390376465542074,0,0.11586163490231995,0,0.13148805086322374
392,0,0,0.1498178262008717,0,0,0,0.1661397874170059,0,0,0,0,0,0,0,0,0,0,0.2994008961745068,0,0.5291163679931623,0,0,0.15232572843615852,0,0,0.1212009636509608,0,0,0.11976532487968555,0,0.26738014849729097,0.1321859542395591,0,0,0.13992105405978278,0,0,0,0,0.1463732531731446,0,0,0,0,0.263259038500309,0,0,0,0,0.14340159554638013,0.14682358173322235,0,0,0,0,0.1455915617881759,0.12184786241255582,0,0,0.500671568828246,0,0,0,0
393,0,0,0,0,0,0.19311890775318494,0,0,0,0,0,0,0,0,0.20221256705388818,0,0,0,0.4041338971279852,0,0.22278026800944248,0.4420885452696401,0,0,0,0.17994415231362537,0,0,0.35562538799781435,0,0.19848643409055472,0,0.187355631383931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22815502918782507,0,0.21290489591590114,0,0,0,0,0.42741795118417325,0,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0.3355598646135715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3840824653676218,0,0,0.39202416173462434,0,0.3275527347814366,0,0.3089640689201945,0.4103109732313721,0,0.34100613275988506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3143364859405717,0,0,0,0,0,0,0
395,0.16270968800359883,0,0,0,0,0,0,0,0.36118105569987563,0,0,0,0,0,0,0,0,0,0,0,0.20010660646095124,0,0,0,0,0,0.16932485821972437,0,0,0.42421167641758684,0,0,0.33657468798806073,0,0.3731895151973688,0,0.17740283541258947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15825125285811492,0,0.1919585529637937,0,0,0,0,0.33384071700225953,0.3701875527191513,0,0,0
396,0,0.26517263695368065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536994853765432,0,0.2372510990162309,0.26912998353939965,0,0,0,0,0.2173817599865918,0,0,0,0,0.2397817868561007,0,0.2263352066181822,0,0.25095745177644485,0,0.23859493206562304,0.23542476229510703,0,0.26252988780992187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2244967026841568,0.2489387325381417,0,0,0
397,0,0,0,0.5287457806608638,0,0,0.19207892704577775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28024775301485577,0.14679471543308,0,0.13846409374798732,0.18388331452875686,0,0,0.5835810059391466,0,0.32353340945910414,0,0,0.1517543620985721,0,0,0,0,0,0,0,0.14975746282013505,0,0,0,0,0,0,0.13719454942693873,0,0,0,0,0,0,0.14471015528248482,0,0,0,0
398,0.15553098543314395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19082838794351625,0,0,0.1912779630790374,0,0,0.16779274401133748,0,0.46349730023318936,0,0,0.30533808242178406,0,0.34083881082371026,0,0,0,0,0,0,0,0,0.18658709641803473,0,0,0,0,0.16779274401133748,0,0,0,0,0.1827990206862574,0.18716114595671401,0,0.3025385102146819,0,0.18348939925518654,0.18559064711698814,0.31064744903099917,0,0,0.15955588241285398,0,0,0,0.1934041019338807
