comic_no,Book Title,Vol,Issue,Year,Month,genre,link,our_idx,img_folderpath,_old_comic_no
180,Jumbo Comics: Sheena and Pied Piper of the Congo,1,92,1946,Oct,jungle|aviation|female,https://digitalcomicmuseum.com/index.php?dlid=24662,188,,3639
181,Jumbo Comics: Sheena and Quest of the Two-Face Juju!,1,101,1947,Jul,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=20266,189,,3640
182,Jumbo Comics: Sheena and Castaways of the Congo,1,122,1949,Apr,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=10434,190,,3641
183,Jumbo Comics: Sheena and Congo Gaints at Bay,1,131,1950,Jan,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=16284,191,,3642
184,Jumbo Comics: Sheena and The Doom of Devil's Gorge,1,132,1950,Feb,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=16285,192,,3643
185,Jumbo Comics: Sheena and The Moon Beasts from Vulture Valley,1,140,1950,Oct,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=17528,193,,3644
186,Jumbo Comics: Sheena and 	The Secrets of Killer's Cave,1,144,1951,Feb,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=8629,194,,3645
187,Jumbo Comics: Sheena and Captain Blood of the Congo,1,150,1951,Aug,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=19345,195,,3646
188,Jumbo Comics: Sheena and Red Blades of Africa,1,152,1951,Oct,jungle|horror|female,https://digitalcomicmuseum.com/index.php?dlid=19346,196,,3647
189,Jumbo Comics: Sheena and The Slave-runners of Bombaru,1,156,1952,Feb,jungle|horror|female|fantasy|western,https://digitalcomicmuseum.com/index.php?dlid=19195,197,,3648
190,Jumbo Comics: Sheena and 	Gun-Trek to Panther Valley,1,158,1952,Apr,jungle|horror|female|western,https://digitalcomicmuseum.com/index.php?dlid=19347,198,,3649
191,Jumbo Comics: Sheena and Hangman's Haunt,1,162,1952,Aug,jungle|war|female|horror|fantasy,https://digitalcomicmuseum.com/index.php?dlid=20143,199,,3650
192,Jumbo Comics: Sheena and Cagliostro Cursed Thee,1,162,1952,Sep,jungle|horror|scifi|fantasy|female,https://digitalcomicmuseum.com/index.php?dlid=18823,200,,3651
193,Jumbo Comics: Sheena and Voodoo Flames,37,36,1942,Feb,jungle|spy|western|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=7267,201,,3652
194,Jumbo Comics: Sheena and Rogue beast prey,37,70,1944,Dec,jungle|spy|western|scifi|female|horror,https://digitalcomicmuseum.com/index.php?dlid=29367,202,,3653
195,Jumbo Comics: Sheena and Terror Trail of the Devil's Horns,40,75,1945,May,jungle|spy|war|scifi|female|horror|fantasy,https://digitalcomicmuseum.com/index.php?dlid=16144,203,,3654
196,Jumbo Comics: Sheena and Land That Time Forgot,40,77,1945,Jul,jungle|spy|war|scifi|female|horror|fantasy,https://digitalcomicmuseum.com/index.php?dlid=16131,204,,3655
197,Jumbo Comics: Sheena and The Wizard of Gorilla Glade,1,147,1951,May,jungle|fantasy|western|female,https://digitalcomicmuseum.com/index.php?dlid=18293,205,,3656
198,Jumbo Comics: Sheena and Golden Girl of Africa,1,159,1952,May,jungle|horrorr|scifi|female,https://digitalcomicmuseum.com/index.php?dlid=3928,206,,3657
199,Jungle Comics: Kaanga and Captive of the Voodoo Master,35,9,1940,Sep,jungle|scifi,https://digitalcomicmuseum.com/index.php?dlid=20568,207,,3658
200,Jungle Comics: Kaanga and Vengeance of the Gorilla Hordes,36,14,1941,Feb,jungle|adventure,https://digitalcomicmuseum.com/index.php?dlid=22387,208,,3659
201,Jungle Comics: Kaanga and Gorillas of Witch Queen,36,26,1942,Feb,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=12580,209,,3660
202,Jungle Comics: Kaanga and The White Sheik,38,43,1943,Jul,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=11862,210,,3661
203,Jungle Comics: Kaanga and Monster of the Boiling Pool,38,44,1943,Aug,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=17248,211,,3662
204,Jungle Comics: Kaanga and Blood Raiders of the Tree-Trail,38,46,Oct,1943,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=13847,212,,3663
205,Jungle Comics: Kaanga and 	Bush-Devil's Spoor,38,60,1944,Dec,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=20144,213,,3664
206,Jungle Comics: Kaanga and Curse of the Blood Madness,38,61,1945,Jan,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=17626,214,,3665
207,Jungle Comics: Kaanga and 	The Killers of M'omba Raj,40,73,1946,Jan,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=23996,215,,3666
208,Jungle Comics: Kaanga and 	Land of No Return,1,74,1946,Feb,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=9151,216,,3667
209,Jungle Comics: Kaanga and Congo Kill,1,75,1946,Mar,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=8750,217,,3668
210,"Jungle Comics: Kaanga and Monstrosso, King of the Apes",1,76,1946,Apr,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=9482,218,,3669
211,Jungle Comics: Kaanga and Death Has a Thousand Fangs,1,79,1946,Jul,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=9172,219,,3670
212,Jungle Comics: Kaanga and 	Safari into Shadowland,35,8,1940,Aug,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=16057,220,,3671
213,Jungle Comics: Kaanga and ,,,,,,,221,,3672
214,Jungle Comics: Kaanga and The Trek of the Terror-Paws,1,111,1949,Mar,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=11957,222,,3673
215,Jungle Comics: Kaanga and Mad Jackals Hunt by Night,1,114,1949,Jun,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=10901,223,,3674
216,Jungle Comics: Kaanga and The Banshees of Voodoo Veldt!,1,116,1949,Aug,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=9616,224,,3675
217,Jungle Comics: Kaanga and The Fangs of the Hooded Scorpion!,1,117,1949,Sep,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=9115,225,,3676
218,Jungle Comics: Kaanga and Raid of the Fire-Fangs,1,110,1949,Feb,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=18115,226,,3677
219,Jungle Comics: Kaanga and Wolves of the Desert Night,1,121,1950,Feb,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=18421,227,,3678
220,Jungle Comics: Kaanga and The Ark of the Mist-Maids!,1,123,1950,Mar,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=9490,228,,3679
221,Jungle Comics: Kaanga and Trail of the pharoahs eye,1,124,1950,Apr,jungle|adventure|animal,https://digitalcomicmuseum.com/index.php?dlid=14556,229,,3680
